number,page,area,area_ja,ken,place,price_h,age_m,age_w,content
81,machi,20_kanazawa,石川/金沢/20代限定,石川,石川県金沢市片町・香林坊周辺,7900/2000,20/29,20/29,2
82,machi,20_fukushima,福島/20代限定,福島,福島県福島市福島駅周辺,7900/2700,20/29,20/29,2
84,machi,20_kanazawa2000,石川/金沢/20代限定,石川,石川県金沢市片町・香林坊周辺,7900/2000,20/29,20/29,2
85,machi,20_yokkaichi,三重/四日市/20代限定,三重,三重県四日市四日市駅周辺,7900/2700,20/29,20/29,2
86,machi,k_fukui,"福井/恋☆Pa ",福井,福井県福井市福井駅周辺,7900/3100,20/40,20/40,21
87,machi,k_kitakyushu,福岡/北九州/恋☆Pa,福岡,福岡県北九州市小倉駅周辺,7900/3700,20/40,20/40,3
88,machi,k_niigata,新潟/恋☆Pa,新潟,新潟県新潟市新潟駅周辺,7900/3300,20/40,20/40,3
89,machi,k_takamatsu,香川/高松/恋☆Pa,香川,香川県高松市高松駅周辺,7900/3100,20/40,20/40,3
90,machi,k_yokkaichi,三重/四日市/恋☆Pa,三重,三重県四日市市四日市駅周辺,7900/2700,20/40,20/40,3
91,machi,k_gifu,岐阜/恋☆Pa,岐阜,岐阜県岐阜市岐阜駅周辺,7900/2800,20/40,20/40,3
92,machi,k_tenjin,福岡/天神/恋☆Pa,福岡,福岡県福岡市中央区天神駅周辺,7900/3700,20/40,20/40,3
93,ani,a_osaka,大阪/アニメコン/昼,大阪,大阪府,8500/2000,20/29,20/29,1
94,ani,a20_akihabara2000,秋葉原/20代限定,東京,東京都千代田区秋葉原駅周辺,9500/2000,20/29,20/29,1
95,ani,a_yamaguchi,山口,山口,山口県山口市新山口駅周辺,8500/3400,20/40,20/40,1
99,ani,a_sendai,宮城/仙台,宮城,宮城県仙台市仙台駅周辺,8500/2000,20/40,20/40,1
100,ani,a_sakae,愛知/栄,愛知,愛知県名古屋市栄駅周辺,9500/2000,20/40,20/40,1
101,ani,a_chichibu,埼玉/秩父,埼玉,埼玉県秩父市秩父駅周辺,9500/2700,20/40,20/40,1
102,machi,k20_matsumoto,長野/松本/20代限定/恋☆Pa,長野,長野県松本市松本駅周辺,7300/2000,20/29,20/29,6
103,ani,a_kawasaki,神奈川/川崎,神奈川,神奈川県川崎市川崎駅周辺,9500/2600,20/40,20/40,1
107,ani,a_shibuya,渋谷,東京,東京都渋谷区渋谷駅周辺,9500/2000,20/40,20/40,1
111,machi,20_kitakyusyu,福岡/北九州,福岡,福岡県北九州市小倉駅周辺,7500/3700,20/29,20/29,4
115,ani,a_tsudanuma,千葉/津田沼,千葉,千葉県習志野市津田沼駅周辺,9500/2000,20/40,20/40,1
116,ani,a_oota,群馬/太田,群馬,群馬県太田市太田駅周辺,9500/2600,20/40,20/40,1
117,ani,a_matsumoto,長野/松本,長野,長野県松本市松本駅周辺,7900/2000,20/40,20/40,1
121,ani,a_soga,千葉/蘇我,千葉,千葉県蘇我市蘇我駅周辺,9500/2600,20/40,20/40,1
122,ani,a_hakatatenjin,福岡/博多天神,福岡,福岡県福岡市天神駅周辺,7500/3500,20/40,20/40,1
123,ani,a_akihabara2000,秋葉原,東京,東京都千代田区秋葉原駅周辺,9500/2000,20/40,20/40,1
124,ani,a20_ikebukuro2000,池袋/20代限定,東京,東京都豊島区池袋駅周辺,9500/2000,20/29,20/29,1
125,machi,k20_sendai,宮城/仙台/20代限定/恋☆Pa,宮城,宮城県仙台市仙台駅周辺,8500/2000,20/29,20/29,6
126,machi,k20_sapporo,北海道/札幌/20代限定/恋☆Pa,北海道,北海道札幌市札幌駅周辺,6900/3600,20/29,20/29,6
127,machi,k20_osaka,大阪/20代限定/恋☆Pa,大阪,大阪府大阪市大阪駅周辺,7900/2000,20/29,20/29,6
130,machi,k20_sagamihara,神奈川/相模原/20代限定/恋☆Pa,神奈川,神奈川県相模原市相模原駅,8500/2800,20/29,20/29,6
131,machi,k20_ichikawa,千葉/市川/20代限定/恋☆Pa,千葉,千葉県市川市市川駅周辺,8500/2800,20/29,20/29,6
133,machi,k20_toyama,富山/20代限定/恋☆Pa,富山,富山県富山市富山駅,8500/2900,20/29,20/29,6
134,machi,k20_nishifunabashi,千葉/西船橋/20代限定/恋☆Pa,千葉,千葉県船橋市西船橋駅周辺,7900/2000,20/29,20/29,6
135,machi,k20_kitakyushu,福岡/北九州/20代限定/恋☆Pa,福岡,福岡県北九州市小倉駅周辺,7500/3700,20/29,20/29,6
136,ani,a_mito,茨城/水戸,茨城,茨城県水戸市水戸駅周辺,9500/2000,20/40,20/40,1
138,ani,a_totsuka,神奈川/戸塚,神奈川,神奈川県横浜市戸塚駅周辺,9500/2600,20/40,20/40,1
139,machi,k20_yamaguchi,山口/20代限定/恋☆Pa,山口,山口県山口市新山口駅周辺,7900/3600,20/29,20/29,6
140,ani,ablack_akihabara,秋葉原/BLACK,東京,東京都千代田区秋葉原駅周辺,8500/0,20/200,20/200,8
141,ani,akaraoke_akihabara,秋葉原/アニカラ,東京,"カラオケパセラ 秋葉原昭和通り館",8500/2000,20/40,20/40,9
142,ani,a_tsukuba,茨城/つくば,茨城,茨城県つくば市つくば駅周辺,9500/2000,20/40,20/40,1
143,ani,a_omiya,埼玉/大宮,埼玉,埼玉県さいたま市大宮区大宮駅周辺,9500/2700,20/40,20/40,1
144,ani,a_makuhari,千葉/海浜幕張,千葉,千葉県千葉市海浜幕張駅周辺,9500/2000,20/40,20/40,1
145,ani,a_toyama85002700,富山,富山,富山県富山市富山駅周辺,8500/2000,20/40,20/40,1
146,machi,k20_kanazawa,石川/金沢/20代限定/恋☆Pa,石川,石川県金沢市金沢駅周辺,8500/2000,20/29,20/29,6
147,machi,k_20iwaki,福島/いわき/20代限定/恋☆Pa,福島,福島県いわき市いわき駅周辺,7900/2700,20/29,20/29,6
148,machi,k20_toyohashi,愛知/豊橋/20代限定/恋☆Pa,愛知,愛知県豊橋市豊橋駅周辺,8500/2000,20/29,20/29,6
149,machi,k20_namba,大阪/難波/20代限定/恋☆Pa,大阪,大阪府大阪市難波駅周辺,7900/2000,20/29,20/29,6
150,ani,a_hakodate,北海道/函館,北海道,北海道函館市函館駅周辺,6900/3400,20/40,20/40,1
151,ani,a_takasaki,群馬/高崎,群馬,群馬県高崎市高崎駅周辺,9500/2000,20/40,20/40,1
152,ani,a_shinjuku,東京/新宿,東京,東京都新宿区新宿駅周辺,9500/2800,20/40,20/40,1
153,ani,a_sagamihara,神奈川/相模原,神奈川,神奈川県相模原市相模原駅,9500/2600,20/40,20/40,1
154,machi,k20_oyama,栃木/小山/20代限定/恋☆Pa,栃木,栃木県小山市小山駅,8500/2700,20/29,20/29,6
155,machi,g_ginza1500,"ゴスロリコン 銀座",東京,東京都中央区銀座駅周辺,9500/1500,20/40,20/40,10
156,ani,a_kanazawa85002600,石川/金沢,石川,石川県金沢市金沢駅周辺,8500/2600,20/40,20/40,1
157,ani,a_namba,大阪/難波,大阪,大阪市難波駅周辺,8500/2000,20/50,20/40,1
158,machi,k20_kawasaki,神奈川/川崎/20代限定/恋☆Pa,神奈川,神奈川県川崎市川崎駅周辺,8500/2800,20/29,20/29,6
159,machi,k20_kitakyusyu79003700,福岡/北九州/20代限定/恋☆Pa,福岡,福岡県北九州市小倉駅周辺,7900/3700,20/29,20/29,6
161,ani,a_matsumoto95002500,長野/松本,長野,長野県松本市松本駅周辺,9500/2000,20/40,20/40,1
162,ani,a_hakatatenjin79003500,福岡/博多天神,福岡,福岡県福岡市天神駅周辺,7900/3500,20/40,20/40,1
165,ani,a_funabashi,千葉/船橋,千葉,千葉県船橋市船橋駅周辺,9500/2600,20/40,20/40,1
166,ani,a_tsukuba95002600,茨城/つくば,茨城,茨城県つくば市つくば駅周辺,9500/2000,20/40,20/40,1
169,machi,k20_kanazawa85002800,石川/金沢/20代限定/恋☆Pa,石川,石川県金沢市金沢駅周辺,8500/2000,20/29,20/29,6
170,machi,k20_sendai79003300,宮城/仙台/20代限定/恋☆Pa,宮城,宮城県仙台市仙台駅周辺,7900/2000,20/29,20/29,6
171,ani,a_kashiwa2000,千葉/柏,千葉,千葉県柏市柏駅周辺,9500/2000,20/40,20/40,1
172,ani,a_kashiwa95002600,千葉/柏,千葉,千葉県柏市柏駅周辺,9500/2600,20/40,20/40,1
174,ani,a_asahikawa,北海道/旭川,北海道,北海道旭川市旭川駅周辺,6900/3400,20/40,20/40,1
175,ani,a_sendai95003100,宮城/仙台,宮城,宮城県仙台市仙台駅周辺,9500/3100,20/40,20/40,1
177,ani,a_utsunomiya,栃木/宇都宮,栃木,栃木県宇都宮市宇都宮駅周辺,9500/2000,20/40,20/40,1
178,ani,a20_shinjuku,新宿/20代限定,東京,東京都新宿区新宿駅周辺,9500/2900,20/29,20/29,1
179,machi,k_sendai,宮城/仙台/恋☆Pa,宮城,宮城県仙台市仙台駅周辺,8500/2000,20/40,20/40,5
180,machi,k_kanazawa,石川/金沢/恋☆Pa,石川,石川県金沢市金沢駅周辺,8500/2000,20/40,20/40,5
181,machi,k_kofu,山梨/甲府/恋☆Pa,山梨,山梨県甲府市甲府駅周辺,7900/2000,20/40,20/40,5
182,machi,k_nishifunabashi,千葉/西船橋/恋☆Pa,千葉,千葉県船橋市西船橋駅周辺,8500/2000,20/40,20/40,5
183,machi,k_oyama,栃木/小山//恋☆Pa,栃木,栃木県小山市小山駅周辺,7900/2000,20/40,20/40,5
185,machi,k_nagoya,愛知/名古屋/恋☆Pa,愛知,愛知県名古屋市名古屋駅周辺,8500/2600,20/40,20/40,5
186,machi,k_kashiwa,千葉/柏/恋☆Pa,千葉,千葉県柏市柏駅周辺,7900/2000,20/40,20/40,5
187,machi,k_ota,群馬/太田/恋☆Pa,群馬,群馬県太田市太田駅周辺,8500/2000,20/40,20/40,5
188,machi,k_kumagaya,埼玉/熊谷/恋☆Pa,埼玉,埼玉県熊谷市熊谷駅周辺,7900/2000,20/40,20/40,5
189,machi,k_shizuoka,静岡/恋☆Pa,静岡,静岡県静岡市静岡駅周辺,7900/2000,20/40,20/40,5
190,machi,k_toyama,富山/恋☆Pa,富山,富山県富山市富山駅周辺,8500/2000,20/40,20/40,5
191,machi,k_chiba,千葉/恋☆Pa,千葉,千葉県千葉市千葉駅周辺,7900/2000,20/40,20/40,5
192,machi,k_matsumoto,長野/松本/恋☆Pa,長野,長野県松本市松本駅周辺,7300/2000,20/40,20/40,5
193,machi,20_matsuyama,愛媛/松山/20代限定,愛媛,愛媛県松山市松山駅周辺,7900/2700,20/29,20/29,2
194,ani,a_ikebukuro2000,池袋,東京,東京都豊島区池袋駅周辺,9500/2000,20/40,20/40,1
195,machi,k_fukushima,福島/恋☆Pa,福島,福島県福島駅周辺,7900/2000,20/40,20/40,5
196,machi,k_tsukuba,茨城/つくば/恋☆Pa,茨城,茨城県つくば市つくば駅周辺,8500/2500,20/40,20/40,5
197,machi,k_toyohashi,愛知/豊橋/恋☆Pa,愛知,愛知県豊橋市豊橋駅周辺,7900/2000,20/40,20/40,5
198,machi,k_hamamatsu,静岡/浜松/恋☆Pa,静岡,静岡県浜松市浜松駅周辺,8500/2000,20/40,20/40,5
199,machi,20_shimonoseki,山口/下関/20代限定,山口,山口県下関市下関駅周辺,7900/2000,20/29,20/29,2
200,machi,20_hakatatenjin,福岡/博多天神/20代限定,福岡,福岡県福岡市天神駅周辺,7900/2000,20/29,20/29,2
201,machi,20_tsu,三重/津/20代限定,三重,三重県津市津駅周辺,7900/2700,20/29,20/29,2
202,machi,20_kitakami,岩手/北上/20代限定,岩手,岩手県北上市北上駅周辺,7900/2000,20/29,20/29,2
203,machi,20_aomori,青森/20代限定,青森,青森県青森市青森駅周辺,7900/3400,20/29,20/29,2
204,machi,20_shunan,山口/周南/20代限定,山口,山口県周南市徳山駅周辺,7900/2000,20/29,20/29,2
205,machi,k20_takaoka,富山/高岡/20代限定/恋☆Pa,富山,富山県高岡市高岡駅周辺,8500/2000,20/29,20/29,6
206,ani,a_takaoka,富山/高岡,富山,富山県高岡市高岡駅周辺,8500/2000,20/40,20/40,1
207,ani,a_yokkaichi,三重/四日市,三重,三重県四日市市四日市駅,8500/2000,20/40,20/40,1
209,ani,a_fushimi,京都/伏見,京都,京都府京都市伏見駅周辺,9500/2000,20/40,20/40,1
210,ani,a_fukuyama,広島/福山,広島,広島県福山市福山駅周辺,8500/2000,20/40,20/40,1
211,ani,a_himeji,兵庫/姫路,兵庫,兵庫県姫路市姫路駅周辺,8500/2000,20/40,20/40,1
213,ani,a_naｍba,大阪／難波,大阪,大阪市難波駅周辺,9500/2000,20/40,20/40,1
217,ani,a_sapporo_6900_2000,北海道／札幌,北海道,北海道札幌駅周辺,6900/2000,20/40,20/40,1
218,ani,a_sendai_9500_2000,宮城／仙台,宮城,宮城県仙台市仙台駅周辺,9500/2000,20/40,20/40,1
219,ani,a_kanazawa_9500_2000,石川/金沢,石川,石川県金沢市金沢駅周辺,9500/2000,20/40,20/40,1
220,ani,"a_kanazawa _9500_2000",石川/金沢,石川,石川県金沢市金沢駅周辺,9500/2000,20/40,20/40,1
221,ani,"a_hakodate _6900_2000","北海道/函館五稜郭 ",北海道,北海道函館市五稜郭公園前駅周辺,6900/2000,20/40,20/40,1
222,ani,a_matsumoto_9500_2000,長野/松本,長野,長野県松本市松本駅周辺,9500/2000,20/40,20/40,1
223,ani,"a_hamamatsu _9500_2000",静岡/浜松,静岡,静岡県浜松市浜松駅周辺,9500/2000,20/40,20/40,1
224,ani,a_yokkaichi_9500_2000,三重/四日市,三重,三重県四日市市四日市駅,9500/2000,20/40,20/40,1
225,ani,a_sakae_9500_2000,愛知/栄,愛知,愛知県名古屋市栄駅周辺,9500/2000,20/40,20/40,1
226,ani,"a_funabashi _9500_2000",千葉/船橋,千葉,千葉県船橋市船橋駅周辺,9500/2000,20/40,20/40,1
227,ani,a_umeda_9500_2000,"大阪/梅田 ",大阪,大阪府大阪市梅田駅周辺,9500/2000,20/40,20/40,1
228,ani,a_fukuyama_9500_2000,広島/福山,広島,広島県福山市福山駅周辺,9500/2000,20/40,20/40,1
231,ani,a_umeda,大阪/梅田,大阪,大阪府大阪市梅田駅周辺,8500/2000,20/40,20/40,1
232,ani,a_shizuoka_9500_2000,静岡,静岡,静岡県静岡駅周辺,9500/2000,20/40,20/40,1
233,ani,a_odaiba_9500_2000,お台場,東京,東京都港区お台場海浜公園駅周辺,9500/2000,20/40,20/40,1
234,ani,a_fusimi_9500_2000,京都/伏見,京都,京都府京都市伏見駅周辺,9500/2000,20/40,20/40,1
235,ani,a_himeji_9500_2000,兵庫/姫路,兵庫,兵庫県姫路市姫路駅周辺,9500/2000,20/40,20/40,1
236,ani,a_kusiro_6900_2000,北海道/釧路,北海道,北海道釧路市釧路駅周辺,6900/2000,20/40,20/40,1
237,ani,a_toyama_9500_2000,富山,富山,富山県富山市富山駅周辺,9500/2000,20/40,20/40,1
239,ani,g_ginza,"ゴスロリコン 東京/銀座",東京,東京都中央区銀座駅周辺,9500/2000,20/40,20/40,10
240,ani,"a_sendai _7900_2000","宮城/仙台 ",宮城,宮城県仙台市仙台駅周辺,7900/2000,20/40,20/40,1
241,ani,a_fukuokatenjin_7900_2000,福岡天神,福岡,福岡県福岡市天神駅周辺,7900/2000,20/40,20/40,1
242,ani,a_kumamoto_9500_2000,熊本,熊本,熊本県熊本市熊本駅周辺,9500/2000,20/40,20/40,1
243,ani,a_kumamoto_6900_2000,熊本,熊本,熊本県熊本市熊本駅周辺,6900/2000,20/40,20/40,1
244,ani,a_shimonoseki_9500_2000,山口/下関,山口,山口県下関市下関駅周辺,9500/2000,20/40,20/40,1
245,ani,"a_nishifunabashi _9500_2000",千葉/西船橋,千葉,千葉県船橋市西船橋駅周辺,9500/2000,20/40,20/40,1
246,ani,a_oyama_9500_2000,栃木/小山,栃木,栃木県小山市小山駅周辺,9500/2000,20/40,20/40,1
247,ani,a_yamagata_9500_2000,山形,山形,山形県山形市山形駅周辺,9500/2000,20/40,20/40,1
248,ani,a_yamagata_7900_2000,山形,山形,山形県山形市山形駅周辺,7900/2000,20/40,20/40,1
249,ani,a_ginza_9500_2000,"銀座 ",東京,東京都中央区銀座駅周辺,9500/2000,20/40,20/40,11
250,ani,a_shinjuku20_9500_2000,新宿/２０代限定,東京,東京都新宿区新宿駅,9500/2000,20/29,20/29,1
251,ani,a_osu_9500_2000,愛知/大須,愛知,愛知県名古屋市大須観音駅周辺,9500/2000,20/40,20/40,1
252,ani,a_shimonoseki_7900_2000,山口/下関,山口,山口県下関市下関駅周辺,7900/2000,20/40,20/40,1
253,ani,a_nakano_9500_2000,中野,東京,東京都中野区中野駅周辺,9500/2000,20/40,20/40,1
254,ani,a_takaoka_9500_2000,富山/高岡,富山,富山県高岡市高岡駅周辺,9500/2000,20/40,20/40,1
255,ani,a_sapporo_7500_2000,"北海道/札幌 ",北海道,北海道札幌駅周辺,7500/2000,20/40,20/40,1
256,ani,a_yokohama_9500_2000,神奈川/横浜,神奈川,神奈川県横浜市横浜駅周辺,9500/2000,20/40,20/40,1
257,ani,a_ueda_9500_2000,長野/上田,長野,長野県上田市上田駅周辺,9500/2000,20/40,20/40,1
258,ani,a_koube_9500_2000,兵庫/神戸,兵庫,兵庫県神戸市神戸駅周辺,9500/2000,20/40,20/40,1
259,ani,a_fukuokatenjin_6900_2000,福岡天神,福岡,福岡県福岡市天神駅周辺,6900/2000,20/40,20/40,1
260,ani,a_fukusima_7500_2000,福島,福島,福島県福島市福島駅周辺,7500/2000,20/40,20/40,1
261,ani,a_asahikawa_6900_2000,北海道/旭川,北海道,北海道旭川市旭川駅周辺,6900/2000,20/40,20/40,1
262,ani,"a_sendai _7500_2000",宮城/仙台,宮城,宮城県仙台市仙台駅周辺,7500/2000,20/40,20/40,1
264,ani,a_kofu_9500_2000,山梨/甲府,山梨,山梨県甲府市甲府駅周辺,9500/2000,20/40,20/40,1
265,ani,a_hirosima_7500_2000,広島,広島,広島県広島市広島駅周辺,7500/2000,20/40,20/40,1
266,ani,a_kawagoe_9500_2000,埼玉/川越,埼玉,埼玉県本川越駅周辺,9500/2000,20/40,20/40,1
267,ani,a_fukusima_6900_2000,福島,福島,福島県福島駅周辺,6900/2000,20/40,20/40,1
268,ani,a_niigata_6900_2000,新潟,新潟,新潟県新潟駅周辺,6900/2000,20/40,20/40,1
269,ani,a_koufu_6900_2000,山梨/甲府,山梨,山梨県甲府駅周辺,6900/2000,20/40,20/40,1
270,ani,a_hirosima_6900_2000,広島,広島,広島県広島駅周辺,6900/2000,20/40,20/40,1
272,ani,ablack_akihabara_8500_0,"秋葉原/BLACK ",東京,東京都千代田区秋葉原駅周辺,8500/0,20/40,20/40,8
273,machi,oomiya1113,大宮,東京,,7500/3900,24/35,22/35,2
274,ani,a_kyouto_9500_2000,京都,京都,京都府京都市京都駅周辺,9500/2000,20/40,20/40,1
275,ani,a_ikebukuro_9500_2000,池袋,東京,東京都豊島区池袋駅周辺,9500/2000,20/40,20/40,1
276,ani,a_sapporo7500,"北海道/札幌 ",北海道,北海道札幌駅周辺,7500/2000,20/40,20/40,1
277,ani,a_kawasaki_9500_2000,神奈川/川崎,神奈川,神奈川県川崎市川崎駅周辺,9500/2000,20/40,20/40,1
278,ani,a_maehasi_9500_1000,群馬/前橋,群馬,群馬県前橋駅周辺,9500/1000,20/40,20/40,1
279,ani,a_hirosima_8500_2000,広島,広島,広島県広島市広島駅周辺,8500/2000,20/40,20/40,1
280,ani,a_karasuma_9500_2000,京都/烏丸,京都,京都府烏丸駅周辺,9500/2000,20/40,20/40,1
281,ani,a_sendai_6900_1000,宮城/仙台,宮城,宮城県仙台駅周辺,6900/1000,20/40,20/40,1
282,ani,a_okayama_7900_2000,岡山,岡山,岡山県岡山駅周辺,7900/2000,20/40,20/40,1
283,ani,a_akihabara_9500_1000,秋葉原,東京,東京都千代田区秋葉原駅周辺,9500/1000,20/40,20/40,1
284,ani,a_kitakyuusyuu_6900_2000,福岡/北九州,福岡,福岡県北九州市小倉駅周辺,6900/2000,20/40,20/40,1
285,ani,a_takamatu_6900_2000,香川/高松,香川,香川県高松市高松駅周辺,6900/2000,20/40,20/40,1
286,ani,a_toyota_9500_2000,愛知/豊田,愛知,愛知県豊田市駅周辺,9500/2000,20/40,20/40,1
287,ani,a_chiba_9500_1000,千葉,千葉,千葉県千葉駅周辺,9500/1000,20/40,20/40,1
288,ani,a_sapporo_5900_2000,北海道/札幌,北海道,北海道札幌駅周辺,5900/2000,20/40,20/40,1
289,ani,a_okayama_6900_2000,岡山,岡山,岡山県岡山駅周辺,6900/2000,20/40,20/40,1
290,ani,a_kanayama_9500_2000,愛知/金山,愛知,愛知県金山駅周辺,9500/2000,20/40,20/40,1
291,ani,a_omiya_9500_1000,埼玉/大宮,埼玉,埼玉県大宮駅周辺,9500/1000,20/40,20/40,1
292,ani,a_toyohasi_9500_2000,愛知/豊橋,愛知,愛知県豊橋駅周辺,9500/2000,20/40,20/40,1
293,ani,a_kitakyuusyuu_5900_2000,福岡/北九州,福岡,福岡県北九州市小倉駅周辺,5900/2000,20/40,20/40,1
294,ani,a_nagano_9500_1000,長野,長野,長野県長野駅周辺,9500/1000,20/40,20/40,1
295,machi,20_kanazawa_7900_1000,石川/金沢/20代限定,石川,石川県金沢駅周辺,7900/1000,20/29,20/29,6
296,machi,m20_toyama_8500_2000,富山/20代限定,富山,富山県富山駅,8500/2000,20/29,20/29,6
297,machi,m20_takasaki_5900_1000,群馬/高崎/20代限定,群馬,群馬県高崎駅周辺,5900/1000,20/29,20/29,6
298,machi,m20_matsumoto_6900_1000,長野/松本/20代限定,長野,長野県松本駅周辺,6900/1000,20/29,20/29,6
299,machi,m20_ginza_7900_2000,銀座/20代限定,東京,東京都銀座駅周辺,7900/2000,20/29,20/29,6
300,machi,m20_ebisu_9500_2000,恵比寿/20代限定,東京,東京都恵比寿駅周辺,9500/2000,20/29,20/29,6
302,machi,m20_sendai_6900_2000,宮城/仙台/20代限定,宮城,宮城県仙台駅周辺,6900/2000,20/29,20/29,6
303,machi,m20_kumamoto_5900_2000,熊本/20代限定,熊本,熊本県熊本駅周辺,5900/2000,20/29,20/29,6
305,ani,a_otsukatakopa4000_1000,大塚/たこ焼きパーティー,東京,大塚コイコイランド,4000/1000,20/40,20/40,14
306,ani,a_otsukacountdown5000_1000,大塚/アニメコンカウントダウン,東京,大塚コイコイランド,5000/1000,20/40,22/35,15
307,ani,a_yonago_7900_2300,鳥取/米子,鳥取,鳥取県米子駅周辺,7900/2300,20/40,20/40,1
308,ani,a_namba_8500_2000,大阪/難波,大阪,大阪府難波駅周辺,8500/2000,20/40,20/40,1
309,ani,a_ueno_9500_1000,上野,東京,東京都上野駅周辺,9500/1000,20/40,20/40,1
310,ani,a_fukuokatenjin_6900_2200,福岡天神,福岡,福岡県天神駅周辺,6900/2200,20/40,20/40,1
311,ani,a_kitakyuusyuu_5900_2200,福岡/北九州,福岡,福岡県小倉駅周辺,5900/2200,20/40,20/40,1
312,ani,a_ikebukuro_9500_1000,池袋,東京,東京都池袋駅周辺,9500/1000,20/40,20/40,1
313,ani,a_namba_9500_1000,大阪/難波,大阪,大阪府難波駅周辺,9500/1000,20/40,20/40,1
314,ani,a_shizuoka_9500_1000,静岡,静岡,静岡県静岡駅周辺,9500/1000,20/40,20/40,1
315,ani,a_toyama_9500_1000,富山,富山,富山県富山駅周辺,9500/1000,20/40,20/40,1
316,ani,a_ginza_9500_1000,東京/銀座,東京,東京都銀座駅周辺,9500/1000,20/40,20/40,1
317,ani,a_kawaramati_9500_1000,京都/河原町,京都,京都府河原町駅周辺,9500/1000,20/40,20/40,1
318,ani,a_nagoya_9500_1400,愛知/名古屋,愛知,愛知県名古屋駅周辺,9500/1400,20/40,20/40,1
319,ani,a_okayama_7900_1000,岡山,岡山,岡山県岡山駅周辺,7900/1000,20/40,20/40,1
320,ani,a_shinjuku_9500_1000,東京/新宿,東京,東京都新宿駅周辺,9500/1000,20/40,20/40,1
321,ani,a_sakae_9500_1400,愛知/栄,愛知,愛知県栄駅周辺,9500/1400,20/40,20/40,1
322,ani,a_takamatu_6900_1500,香川/高松,香川,香川県高松駅周辺,6900/1500,20/40,20/40,1
323,machi,m20_takasaki_6500_1500,群馬/高崎,群馬,群馬県高崎駅周辺,6500/1500,20/29,20/29,6
324,ani,a_himeji_9500_1000,兵庫/姫路,兵庫,兵庫県姫路駅周辺,9500/1000,20/40,20/40,1
325,ani,a_yokohama_9500_1000,神奈川/横浜,神奈川,神奈川県横浜駅周辺,9500/1000,20/40,20/40,1
327,ani,a_sibuya_9500_1000,東京/渋谷,東京,東京都渋谷駅周辺,9500/1000,20/40,20/40,1
328,ani,a_hamamatu_9500_1000,静岡/浜松,静岡,静岡県浜松駅周辺,9500/1000,20/40,20/40,1
329,ani,a_hirosima_8500_1000,広島,広島,広島県広島駅周辺,8500/1000,20/40,20/40,1
330,machi,m20_ebisu_6900_2000,東京/恵比寿,東京,東京都恵比寿駅周辺,6900/2000,20/29,20/29,6
331,ani,a_umeda_9500_1000,大阪/梅田,大阪,大阪府梅田駅周辺,9500/1000,20/40,20/40,1
332,ani,a_koube_9500_1000,兵庫/神戸,兵庫,兵庫県神戸駅周辺,9500/1000,20/40,20/40,1
